,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude,altitude
0,MM01,Kachin,ကချင်ပြည်နယ်,ပြည်နယ်,State,"ကချင်ပြည်နယ် (Kachin), Myanmar","(26.090602, 97.37008354062499, 0.0)",26.090602,97.37008354062499,0.0
1,MM06,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,"တိုင်း ကညန, ၄လမ်း, ထိန်သစ်ရပ်ကွက်, ထားဝယ်, Dawei District, Tanintharyi Region, 14011, Myanmar","(14.099768, 98.1914369, 0.0)",14.099768,98.1914369,0.0
2,MM07,Bago,ပဲခူးတိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,"ပဲခူးတိုင်းဒေသကြီး အရှေ့ခြမ်း, ပဲခူးတိုင်းဒေသကြီး (Bago), Myanmar","(18.159108, 96.65007445495218, 0.0)",18.159108,96.65007445495218,0.0
3,MM08,Magway,မကွေးတိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,"မကွေးတိုင်းဒေသကြီး, Myanmar","(20.802759000000002, 94.54176226661828, 0.0)",20.802759000000002,94.54176226661828,0.0
4,MM09,Mandalay,မန္တလေးတိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,,,,,
5,MM10,Mon,မွန်ပြည်နယ်,ပြည်နယ်,State,"Mon, Myanmar","(17.0832546, 97.3337305, 0.0)",17.0832546,97.3337305,0.0
6,MM11,Rakhine,ရခိုင်ပြည်နယ်,ပြည်နယ်,State,"ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(19.5212991, 94.0072428, 0.0)",19.5212991,94.0072428,0.0
7,MM12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,"ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(17.05943415, 96.11338955271212, 0.0)",17.05943415,96.11338955271212,0.0
8,MM13,Shan,ရှမ်းပြည်နယ်,ပြည်နယ်,State,"ရှမ်းပြည်နယ် Shan State, Myanmar","(21.5122404, 98.0098362, 0.0)",21.5122404,98.0098362,0.0
9,MM14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,"ဧရာဝတီတိုင်းဒေသကြီး, Myanmar","(16.8340079, 95.1804705, 0.0)",16.8340079,95.1804705,0.0
10,MMR001,Kachin,ကချင်ပြည်နယ်,ပြည်နယ်,State,"ကချင်ပြည်နယ် (Kachin), Myanmar","(26.090602, 97.37008354062499, 0.0)",26.090602,97.37008354062499,0.0
11,MMR002,Kayah,ကယားပြည်နယ်,ပြည်နယ်,State,"ကယားပြည်နယ်‌ (Kayah), Myanmar","(19.2812505, 97.3291806, 0.0)",19.2812505,97.3291806,0.0
12,MMR003,Kayin,ကရင်ပြည်နယ်,ပြည်နယ်,State,"ကရင်ပြည်နယ် (Kayin), Myanmar","(17.1863135, 97.7499316, 0.0)",17.1863135,97.7499316,0.0
13,MM02,Kayah,ကယားပြည်နယ်,ပြည်နယ်,State,"ကယားပြည်နယ်‌ (Kayah), Myanmar","(19.2812505, 97.3291806, 0.0)",19.2812505,97.3291806,0.0
14,MMR004,Chin,ချင်းပြည်နယ်,ပြည်နယ်,State,"ချင်းပြည်နယ်‌, Myanmar","(22.018242, 93.5038035, 0.0)",22.018242,93.5038035,0.0
15,MM03,Kayin,ကရင်ပြည်နယ်,ပြည်နယ်,State,"ကရင်ပြည်နယ် (Kayin), Myanmar","(17.1863135, 97.7499316, 0.0)",17.1863135,97.7499316,0.0
16,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,"Sagaing Regional TB Drug Store, ကျောင်းလမ်း - Kyaung St, မုံရွာ, မုံရွာခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), 02301, Myanmar","(22.1205461, 95.1318447, 0.0)",22.1205461,95.1318447,0.0
17,MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,"တိုင်း ကညန, ၄လမ်း, ထိန်သစ်ရပ်ကွက်, ထားဝယ်, Dawei District, Tanintharyi Region, 14011, Myanmar","(14.099768, 98.1914369, 0.0)",14.099768,98.1914369,0.0
18,MMR007,Bago (East),ပဲခူးတိုင်းဒေသကြီး(အရှေ့),တိုင်းဒေသကြီး,Region,"Sat Thay (East), တောင်ငူခရိုင်, ပဲခူးတိုင်းဒေသကြီး အရှေ့ခြမ်း, ပဲခူးတိုင်းဒေသကြီး (Bago), 08113, Myanmar","(19.4352707, 96.2766619, 0.0)",19.4352707,96.2766619,0.0
19,MM04,Chin,ချင်းပြည်နယ်,ပြည်နယ်,State,"ချင်းပြည်နယ်‌, Myanmar","(22.018242, 93.5038035, 0.0)",22.018242,93.5038035,0.0
20,MMR008,Bago (West),ပဲခူးတိုင်းဒေသကြီး(အနောက်),တိုင်းဒေသကြီး,Region,,,,,
21,MM05,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,"Sagaing Regional TB Drug Store, ကျောင်းလမ်း - Kyaung St, မုံရွာ, မုံရွာခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), 02301, Myanmar","(22.1205461, 95.1318447, 0.0)",22.1205461,95.1318447,0.0
22,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,"မကွေးတိုင်းဒေသကြီး, Myanmar","(20.802759000000002, 94.54176226661828, 0.0)",20.802759000000002,94.54176226661828,0.0
23,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,,,,,
24,MMR011,Mon,မွန်ပြည်နယ်,ပြည်နယ်,State,"Mon, Myanmar","(17.0832546, 97.3337305, 0.0)",17.0832546,97.3337305,0.0
25,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ပြည်နယ်,State,"ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(19.5212991, 94.0072428, 0.0)",19.5212991,94.0072428,0.0
26,MMR013,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,"ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(17.05943415, 96.11338955271212, 0.0)",17.05943415,96.11338955271212,0.0
27,MMR014,Shan (South),ရှမ်းပြည်နယ်(တောင်),ပြည်နယ်,State,"မိုက်ဖျက် (တောင်), တောင်ကြီးခရိုင, ရှမ်းပြည်နယ်တောင်ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(19.91996, 96.957336, 0.0)",19.91996,96.957336,0.0
28,MMR015,Shan (North),ရှမ်းပြည်နယ်(မြောက်),ပြည်နယ်,State,"ဇယန်း (မြောက်), ပလောင်ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ, ကျောက်မဲခရိုင်, ရှမ်းပြည်နယ်မြောက်ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(22.982309, 97.141487, 0.0)",22.982309,97.141487,0.0
29,MMR016,Shan (East),ရှမ်းပြည်နယ်(အရှေ့),ပြည်နယ်,State,,,,,
30,MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,တိုင်းဒေသကြီး,Region,"ဧရာဝတီတိုင်းဒေသကြီး, Myanmar","(16.8340079, 95.1804705, 0.0)",16.8340079,95.1804705,0.0
31,MMR018,Nay Pyi Taw,နေပြည်တော်,ပြည်ထောင်စုနယ်မြေ,Union Territory,"နေပြည်တော်, ဒက္ခိဏခရိုင်, နေပြည်တော် ပြည်ထောင်စုနယ်မြ, 15011, Myanmar","(19.7540045, 96.1344976, 0.0)",19.7540045,96.1344976,0.0
32,MMR005S001,Naga Self-Administered Zone,နာဂကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,Self-Administered Zone,,,,,
33,MMR014S001,Danu Self-Administered Zone,ဓနုကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,Self-Administered Zone,,,,,
34,MMR014S002,Pa-O Self-Administered Zone,ပအိုဝ်းကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,Self-Administered Zone,,,,,
35,MMR015S001,Pa Laung Self-Administered Zone,ပလောင်ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,Self-Administered Zone,,,,,
36,MMR015S002,Kokang Self-Administered Zone,ကိုးကန့်ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,Self-Administered Zone,,,,,
37,MMR015S501,Wa Self-Administered Division,ဝကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရတိုင်း,ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရတိုင်း,Self-Administered Division,,,,,
38,MMR001D001,Myitkyina,မြစ်ကြီးနားခရိုင်,ခရိုင်,District,"မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.827448, 97.70932155983101, 0.0)",25.827448,97.70932155983101,0.0
39,MMR001D002,Mohnyin,မိုးညှင်းခရိုင်,ခရိုင်,District,"မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.311261100000003, 96.54251881471731, 0.0)",25.311261100000003,96.54251881471731,0.0
40,MMR001D003,Bhamo,ဗန်းမော်ခရိုင်,ခရိုင်,District,"ဗန်းမော်ခရိုင်, ကချင်ပြည်နယ် (Kachin), 074, Myanmar","(24.2692872, 97.17853617700688, 0.0)",24.2692872,97.17853617700688,0.0
41,MMR001D004,Puta-O,ပူတာအိုခရိုင်,ခရိုင်,District,"ပူတာအိုခရိုင်, ကချင်ပြည်နယ် (Kachin), 01051, Myanmar","(27.2583245, 97.89560354526998, 0.0)",27.2583245,97.89560354526998,0.0
42,MMR002D001,Loikaw,လွိုင်ကော်ခရိုင်,ခရိုင်,District,,,,,
43,MMR002D002,Bawlake,ဘောလခဲခရိုင်,ခရိုင်,District,,,,,
44,MMR003D001,Hpa-An,ဘားအံခရိုင်,ခရိုင်,District,"ဘားအံခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(17.1790581, 97.87587580411804, 0.0)",17.1790581,97.87587580411804,0.0
45,MMR003D002,Myawaddy,မြဝတီခရိုင်,ခရိုင်,District,"မြဝတီခရိုင်, ကရင်ပြည်နယ် (Kayin), 13052, Myanmar","(16.56501595, 98.49448513768631, 0.0)",16.56501595,98.49448513768631,0.0
46,MMR003D003,Kawkareik,ကော့ကရိတ်ခရိုင်,ခရိုင်,District,"ကော့ကရိတ်ခရိုင်, ကရင်ပြည်နယ် (Kayin), 170757, Myanmar","(16.0387975, 98.21271138892715, 0.0)",16.0387975,98.21271138892715,0.0
47,MMR003D004,Hpapun,ဖာပွန်ခရိုင်,ခရိုင်,District,"ဖာပွန်ခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(18.069898799999997, 97.42525672912043, 0.0)",18.069898799999997,97.42525672912043,0.0
48,MMR004D001,Falam,ဖလမ်းခရိုင်,ခရိုင်,District,"ဖလမ်းခရိုင်, ချင်းပြည်နယ်‌, 03042, Myanmar","(23.44561555, 93.71180040461054, 0.0)",23.44561555,93.71180040461054,0.0
49,MMR004D002,Mindat,မင်းတပ်ခရိုင်,ခရိုင်,District,"မင်းတပ်ခရိုင်, ချင်းပြည်နယ်‌, Myanmar","(21.4361514, 93.35165992478288, 0.0)",21.4361514,93.35165992478288,0.0
50,MMR004D003,Hakha,ဟားခါးခရိုင်,ခရိုင်,District,"ဟားခါးခရိုင်, ချင်းပြည်နယ်‌, 03011, Myanmar","(22.538805699999998, 93.56692266031689, 0.0)",22.538805699999998,93.56692266031689,0.0
51,MMR004D004,Matupi,မတူပီခရိုင်,ခရိုင်,District,,,,,
52,MMR005D001,Sagaing,စစ်ကိုင်းခရိုင်,ခရိုင်,District,"စစ်ကိုင်းခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(21.9134294, 95.46992658785372, 0.0)",21.9134294,95.46992658785372,0.0
53,MMR005D002,Shwebo,ရွှေဘိုခရိုင်,ခရိုင်,District,"ရွှေဘိုခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(22.5385263, 95.59808650856662, 0.0)",22.5385263,95.59808650856662,0.0
54,MMR005D003,Monywa,မုံရွာခရိုင်,ခရိုင်,District,"မုံရွာခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(22.21360045, 95.3422251118846, 0.0)",22.21360045,95.3422251118846,0.0
55,MMR005D004,Katha,ကသာခရိုင်,ခရိုင်,District,"ကသာခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), 50204, Myanmar","(24.2196736, 95.8709264404221, 0.0)",24.2196736,95.8709264404221,0.0
56,MMR005D005,Kale,ကလေးခရိုင်,ခရိုင်,District,"ကလေးခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), 50501, Myanmar","(22.95318855, 94.44428280361797, 0.0)",22.95318855,94.44428280361797,0.0
57,MMR005D006,Tamu,တမူးခရိုင်,ခရိုင်,District,"တမူးခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(24.18735435, 94.39209374929968, 0.0)",24.18735435,94.39209374929968,0.0
58,MMR005D007,Mawlaik,မော်လိုက်ခရိုင်,ခရိုင်,District,"မော်လိုက်ခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), 02061, Myanmar","(23.94729085, 94.75674582726424, 0.0)",23.94729085,94.75674582726424,0.0
59,MMR005D008,Hkamti,ခန္တီးခရိုင်,ခရိုင်,District,"ခန္တီးခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(25.8372047, 95.5780636154928, 0.0)",25.8372047,95.5780636154928,0.0
60,MMR005D009,Yinmarbin,ယင်းမာပင်ခရိုင်,ခရိုင်,District,"ယင်းမာပင်ခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(22.30912875, 94.69225062725724, 0.0)",22.30912875,94.69225062725724,0.0
61,MMR005D010,Kanbalu,ကန့်ဘလူခရိုင်,ခရိုင်,District,,,,,
62,MMR005D011,Kawlin,ကောလင်းခရိုင်,ခရိုင်,District,,,,,
63,MMR006D001,Dawei,ထားဝယ်ခရိုင်,ခရိုင်,District,"ခရိုင်သစ်တောရုံး, ရဲရိပ်သာလမ်း, အနောက်မြို့တွင်း, အနောက်မြို့တွင်းရပ်ကွက်, ထားဝယ်, Dawei District, Tanintharyi Region, 60101, Myanmar","(14.0742997, 98.1956563, 0.0)",14.0742997,98.1956563,0.0
64,MMR006D002,Myeik,မြိတ်ခရိုင်,ခရိုင်,District,,,,,
65,MMR006D003,Kawthoung,ကော့သောင်းခရိုင်,ခရိုင်,District,,,,,
66,MMR007D001,Bago,ပဲခူးခရိုင်,ခရိုင်,District,"ပဲခူးခရိုင်, ပဲခူးတိုင်းဒေသကြီး အရှေ့ခြမ်း, ပဲခူးတိုင်းဒေသကြီး (Bago), Myanmar","(17.6596964, 96.64603025197206, 0.0)",17.6596964,96.64603025197206,0.0
67,MMR007D002,Taungoo,တောင်ငူခရိုင်,ခရိုင်,District,"တောင်ငူခရိုင်, ပဲခူးတိုင်းဒေသကြီး အရှေ့ခြမ်း, ပဲခူးတိုင်းဒေသကြီး (Bago), Myanmar","(18.8094312, 96.23637270607415, 0.0)",18.8094312,96.23637270607415,0.0
68,MMR008D001,Pyay,ပြည်ခရိုင်,ခရိုင်,District,"ပြည်ခရိုင, ပဲခူးတိုင်းဒေသကြီး အနောက်ခြမ်း, ပဲခူးတိုင်းဒေသကြီး (Bago), Myanmar","(18.7742554, 95.26005035391995, 0.0)",18.7742554,95.26005035391995,0.0
69,MMR008D002,Thayarwady,သာယာဝတီခရိုင်,ခရိုင်,District,"သာယာဝတီခရိုင, ပဲခူးတိုင်းဒေသကြီး အနောက်ခြမ်း, ပဲခူးတိုင်းဒေသကြီး (Bago), Myanmar","(18.128294099999998, 95.76784958953387, 0.0)",18.128294099999998,95.76784958953387,0.0
70,MMR009D001,Magway,မကွေးခရိုင်,ခရိုင်,District,"မကွေးခရိုင်, မကွေးတိုင်းဒေသကြီး, Myanmar","(20.28448155, 95.32974270773789, 0.0)",20.28448155,95.32974270773789,0.0
71,MMR009D002,Minbu,မင်းဘူးခရိုင်,ခရိုင်,District,"မင်းဘူးခရိုင်, မကွေးတိုင်းဒေသကြီး, Myanmar","(20.346157599999998, 94.47291462949808, 0.0)",20.346157599999998,94.47291462949808,0.0
72,MMR009D003,Thayet,သရက်ခရိုင်,ခရိုင်,District,"သရက်ခရိုင်, မကွေးတိုင်းဒေသကြီး, 04151, Myanmar","(19.41586005, 95.14195451895446, 0.0)",19.41586005,95.14195451895446,0.0
73,MMR009D004,Pakokku,ပခုက္ကူခရိုင်,ခရိုင်,District,"ပခုက္ကူခရိုင်, မကွေးတိုင်းဒေသကြီး, Myanmar","(21.3541862, 94.74858402127207, 0.0)",21.3541862,94.74858402127207,0.0
74,MMR009D005,Gangaw,ဂန့်ဂေါခရိုင်,ခရိုင်,District,,,,,
75,MMR010D001,Mandalay,မန္တလေးခရိုင်,ခရိုင်,District,"မန္တလေးခရိုင်, မန္တလေးတိုင်း, Myanmar","(21.9700209, 96.15576508785733, 0.0)",21.9700209,96.15576508785733,0.0
76,MMR010D002,Pyinoolwin,ပြင်ဦးလွင်ခရိုင်,ခရိုင်,District,"ပြင်ဦးလွင်ခရိုင်, မန္တလေးတိုင်း, Myanmar","(22.6760008, 96.06948842110029, 0.0)",22.6760008,96.06948842110029,0.0
77,MMR010D003,Kyaukse,ကျောက်ဆည်ခရိုင်,ခရိုင်,District,"ကျောက်ဆည်ခရိုင်, မန္တလေးတိုင်း, Myanmar","(21.57803905, 96.1521055727707, 0.0)",21.57803905,96.1521055727707,0.0
78,MMR010D004,Myingyan,မြင်းခြံခရိုင်,ခရိုင်,District,"မြင်းခြံခရိုင်, မန္တလေးတိုင်း, Myanmar","(21.4713348, 95.64288849140769, 0.0)",21.4713348,95.64288849140769,0.0
79,MMR010D005,Nyaung-U,ညောင်ဦးခရိုင်,ခရိုင်,District,"ညောင်ဦးခရိုင်, မန္တလေးတိုင်း, Myanmar","(20.928028, 95.16734599114011, 0.0)",20.928028,95.16734599114011,0.0
80,MMR010D006,Yamethin,ရမည်းသင်းခရိုင်,ခရိုင်,District,"ရမည်းသင်းခရိုင်, မန္တလေးတိုင်း, +959, Myanmar","(20.4849452, 96.1068811180073, 0.0)",20.4849452,96.1068811180073,0.0
81,MMR010D007,Meiktila,မိတ္ထီလာခရိုင်,ခရိုင်,District,"မိတ္ထီလာခရိုင်, မန္တလေးတိုင်း, Myanmar","(20.9582957, 95.89563804971712, 0.0)",20.9582957,95.89563804971712,0.0
