,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude
38,MMR001D001,Myitkyina,မြစ်ကြီးနားခရိုင်,ခရိုင်,District,"မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.827448, 97.70932155983101, 0.0)",25.827448,97.70932155983101
39,MMR001D002,Mohnyin,မိုးညှင်းခရိုင်,ခရိုင်,District,"မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.311261100000003, 96.54251881471731, 0.0)",25.311261100000007,96.54251881471731
40,MMR001D003,Bhamo,ဗန်းမော်ခရိုင်,ခရိုင်,District,"ဗန်းမော်ခရိုင်, ကချင်ပြည်နယ် (Kachin), 074, Myanmar","(24.2692872, 97.17853617700688, 0.0)",24.2692872,97.17853617700688
41,MMR001D004,Puta-O,ပူတာအိုခရိုင်,ခရိုင်,District,"ပူတာအိုခရိုင်, ကချင်ပြည်နယ် (Kachin), 01051, Myanmar","(27.2583245, 97.89560354526998, 0.0)",27.2583245,97.89560354526999
44,MMR003D001,Hpa-An,ဘားအံခရိုင်,ခရိုင်,District,"ဘားအံခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(17.1790581, 97.87587580411804, 0.0)",17.1790581,97.87587580411804
45,MMR003D002,Myawaddy,မြဝတီခရိုင်,ခရိုင်,District,"မြဝတီခရိုင်, ကရင်ပြည်နယ် (Kayin), 13052, Myanmar","(16.56501595, 98.49448513768631, 0.0)",16.56501595,98.49448513768631
46,MMR003D003,Kawkareik,ကော့ကရိတ်ခရိုင်,ခရိုင်,District,"ကော့ကရိတ်ခရိုင်, ကရင်ပြည်နယ် (Kayin), 170757, Myanmar","(16.0387975, 98.21271138892715, 0.0)",16.0387975,98.21271138892716
47,MMR003D004,Hpapun,ဖာပွန်ခရိုင်,ခရိုင်,District,"ဖာပွန်ခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(18.069898799999997, 97.42525672912043, 0.0)",18.0698988,97.42525672912045
48,MMR004D001,Falam,ဖလမ်းခရိုင်,ခရိုင်,District,"ဖလမ်းခရိုင်, ချင်းပြည်နယ်‌, 03042, Myanmar","(23.44561555, 93.71180040461054, 0.0)",23.44561555,93.71180040461054
49,MMR004D002,Mindat,မင်းတပ်ခရိုင်,ခရိုင်,District,"မင်းတပ်ခရိုင်, ချင်းပြည်နယ်‌, Myanmar","(21.4361514, 93.35165992478288, 0.0)",21.4361514,93.35165992478287
50,MMR004D003,Hakha,ဟားခါးခရိုင်,ခရိုင်,District,"ဟားခါးခရိုင်, ချင်းပြည်နယ်‌, 03011, Myanmar","(22.538805699999998, 93.56692266031689, 0.0)",22.5388057,93.56692266031686
52,MMR005D001,Sagaing,စစ်ကိုင်းခရိုင်,ခရိုင်,District,"စစ်ကိုင်းခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(21.9134294, 95.46992658785372, 0.0)",21.9134294,95.46992658785372
53,MMR005D002,Shwebo,ရွှေဘိုခရိုင်,ခရိုင်,District,"ရွှေဘိုခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(22.5385263, 95.59808650856662, 0.0)",22.5385263,95.59808650856662
54,MMR005D003,Monywa,မုံရွာခရိုင်,ခရိုင်,District,"မုံရွာခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(22.21360045, 95.3422251118846, 0.0)",22.21360045,95.34222511188459
55,MMR005D004,Katha,ကသာခရိုင်,ခရိုင်,District,"ကသာခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), 50204, Myanmar","(24.2196736, 95.8709264404221, 0.0)",24.2196736,95.8709264404221
56,MMR005D005,Kale,ကလေးခရိုင်,ခရိုင်,District,"ကလေးခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), 50501, Myanmar","(22.95318855, 94.44428280361797, 0.0)",22.95318855,94.44428280361795
57,MMR005D006,Tamu,တမူးခရိုင်,ခရိုင်,District,"တမူးခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(24.18735435, 94.39209374929968, 0.0)",24.18735435,94.39209374929968
