,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude
0,MM01,Kachin,ကချင်ပြည်နယ်,ပြည်နယ်,State,"ကချင်ပြည်နယ် (Kachin), Myanmar","(26.090602, 97.37008354062499, 0.0)",26.090602,97.370083540625
5,MM10,Mon,မွန်ပြည်နယ်,ပြည်နယ်,State,"Mon, Myanmar","(17.0832546, 97.3337305, 0.0)",17.0832546,97.3337305
6,MM11,Rakhine,ရခိုင်ပြည်နယ်,ပြည်နယ်,State,"ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(19.5212991, 94.0072428, 0.0)",19.5212991,94.0072428
8,MM13,Shan,ရှမ်းပြည်နယ်,ပြည်နယ်,State,"ရှမ်းပြည်နယ် Shan State, Myanmar","(21.5122404, 98.0098362, 0.0)",21.5122404,98.00983620000001
10,MMR001,Kachin,ကချင်ပြည်နယ်,ပြည်နယ်,State,"ကချင်ပြည်နယ် (Kachin), Myanmar","(26.090602, 97.37008354062499, 0.0)",26.090602,97.370083540625
11,MMR002,Kayah,ကယားပြည်နယ်,ပြည်နယ်,State,"ကယားပြည်နယ်‌ (Kayah), Myanmar","(19.2812505, 97.3291806, 0.0)",19.2812505,97.3291806
12,MMR003,Kayin,ကရင်ပြည်နယ်,ပြည်နယ်,State,"ကရင်ပြည်နယ် (Kayin), Myanmar","(17.1863135, 97.7499316, 0.0)",17.1863135,97.7499316
13,MM02,Kayah,ကယားပြည်နယ်,ပြည်နယ်,State,"ကယားပြည်နယ်‌ (Kayah), Myanmar","(19.2812505, 97.3291806, 0.0)",19.2812505,97.3291806
14,MMR004,Chin,ချင်းပြည်နယ်,ပြည်နယ်,State,"ချင်းပြည်နယ်‌, Myanmar","(22.018242, 93.5038035, 0.0)",22.018242,93.5038035
15,MM03,Kayin,ကရင်ပြည်နယ်,ပြည်နယ်,State,"ကရင်ပြည်နယ် (Kayin), Myanmar","(17.1863135, 97.7499316, 0.0)",17.1863135,97.7499316
19,MM04,Chin,ချင်းပြည်နယ်,ပြည်နယ်,State,"ချင်းပြည်နယ်‌, Myanmar","(22.018242, 93.5038035, 0.0)",22.018242,93.5038035
24,MMR011,Mon,မွန်ပြည်နယ်,ပြည်နယ်,State,"Mon, Myanmar","(17.0832546, 97.3337305, 0.0)",17.0832546,97.3337305
25,MMR012,Rakhine,ရခိုင်ပြည်နယ်,ပြည်နယ်,State,"ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(19.5212991, 94.0072428, 0.0)",19.5212991,94.0072428
27,MMR014,Shan (South),ရှမ်းပြည်နယ်(တောင်),ပြည်နယ်,State,"မိုက်ဖျက် (တောင်), တောင်ကြီးခရိုင, ရှမ်းပြည်နယ်တောင်ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(19.91996, 96.957336, 0.0)",19.91996,96.957336
28,MMR015,Shan (North),ရှမ်းပြည်နယ်(မြောက်),ပြည်နယ်,State,"ဇယန်း (မြောက်), ပလောင်ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ, ကျောက်မဲခရိုင်, ရှမ်းပြည်နယ်မြောက်ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(22.982309, 97.141487, 0.0)",22.982309,97.141487
