,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude
448,MMR001001701,Myitkyina Town,မြစ်ကြီးနား,မြို့,Town,"မြစ်ကြီးနား, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.3833313, 97.3999925, 0.0)",25.3833313,97.39999250000001
449,MMR001001702,Sinbo Town,ဆင်ဘို,မြို့,Town,"ဆင်ဘို, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(24.779234, 97.039169, 0.0)",24.779234,97.039169
450,MMR001002701,Waingmaw Town,ဝိုင်းမော်,မြို့,Town,"ဝိုင်းမော်, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.3537725, 97.4440251, 0.0)",25.3537725,97.44402509999999
451,MMR001002702,Sadung Town,ဆဒုံး,မြို့,Town,"ဆဒုံး, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.3962189, 97.8984954, 0.0)",25.396218899999997,97.8984954
452,MMR001002703,Kan Paik Ti Town,ကန်ပိုက်တီ,မြို့,Town,"ကန်ပိုက်တီ, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.4058664, 98.1181275, 0.0)",25.4058664,98.1181275
453,MMR001003701,Injangyang Town,အင်ဂျန်းယန်,မြို့,Town,"အင်ဂျန်းယန်, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.8303708, 97.728043, 0.0)",25.8303708,97.728043
454,MMR001004701,Tanai Town,တနိုင်း,မြို့,Town,"တနိုင်း, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(26.403813800000002, 96.60279485997367, 0.0)",26.4038138,96.60279485997368
455,MMR001004702,Shin Bway Yang Town,ရှင်ဗွေယန်,မြို့,Town,"ရှင်ဗွေယန်, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(26.69478, 96.2094, 0.0)",26.694779999999998,96.2094
456,MMR001005701,Chipwi Town,ချီဖွေ,မြို့,Town,"ချီဖွေ, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.885789, 98.1305242, 0.0)",25.885789000000003,98.13052420000001
458,MMR001006701,Tsawlaw Town,ဆော့လော်,မြို့,Town,"ဆော့လော်, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(26.1537756, 98.2711332, 0.0)",26.153775600000003,98.27113320000001
459,MMR001007701,Mohnyin Town,မိုးညှင်း,မြို့,Town,"မိုးညှင်း, မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(24.779057, 96.373198, 0.0)",24.779057,96.373198
460,MMR001007702,Hopin Town,ဟိုပင်,မြို့,Town,"ဟိုပင်, မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(24.9916524, 96.528316, 0.0)",24.991652399999996,96.528316
461,MMR001007703,Inn Taw Gyi Town,အင်းတော်ကြီး,မြို့,Town,"အင်းတော်ကြီး, ဖားကန့် - မိုးညှင်း လမ်း, Nyaung bin, မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.153091449999998, 96.33671081356349, 0.0)",25.15309145,96.33671081356349
464,MMR001008701,Mogaung Town,မိုးကောင်း,မြို့,Town,"မိုးကောင်း, မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), ၁၁၀၂, Myanmar","(25.3018588, 96.9416995, 0.0)",25.3018588,96.9416995
465,MMR001008702,Nammatee Town,နမ္မတီး,မြို့,Town,"နမ္မတီး, မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.3685481, 97.0081159, 0.0)",25.3685481,97.0081159
466,MMR001009701,Hpakant Town,ဖားကန့်,မြို့,Town,"ဖားကန့်, မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), 1161, Myanmar","(25.6123483, 96.3125388, 0.0)",25.6123483,96.3125388
467,MMR001009702,Kamaing Town,ကာမိုင်း,မြို့,Town,"ကာမိုင်း, မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.522595, 96.711534, 0.0)",25.522595000000003,96.711534
468,MMR001010701,Bhamo Town,ဗန်းမော်,မြို့,Town,"ဗန်းမော်, ဗန်းမော်ခရိုင်, ကချင်ပြည်နယ် (Kachin), 074, Myanmar","(24.266667, 97.233333, 0.0)",24.266667,97.233333
469,MMR001011701,Shwegu Town,ရွှေကူ,မြို့,Town,"ရွှေကူ, ဗန်းမော်ခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(24.2278257, 96.7874052, 0.0)",24.227825699999997,96.78740520000001
470,MMR001011702,Myo Hla Town,မြို့လှ,မြို့,Town,"မြို့လှ, ဗန်းမော်ခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(24.479419, 96.632228, 0.0)",24.479419,96.632228
471,MMR001012701,Momauk Town,မိုးမောက်,မြို့,Town,"မိုးမောက်, ဗန်းမော်ခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(24.2493952, 97.3459136, 0.0)",24.2493952,97.34591359999999
472,MMR001012702,Lwegel Town,လွယ်ဂျယ်,မြို့,Town,"လွယ်ဂျယ်, ဗန်းမော်ခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(24.2001166, 97.7232522, 0.0)",24.2001166,97.7232522
473,MMR001012703,Dawthponeyan Town,ဒေါ့ဖုန်းယန်,မြို့,Town,"ဒေါ့ဖုန်းယန်, ဗန်းမော်ခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(24.6157413, 97.4623535, 0.0)",24.6157413,97.4623535
474,MMR001013701,Mansi Town,မံစီ,မြို့,Town,"မံစီ, ဗန်းမော်ခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(23.9183825, 97.29555023001953, 0.0)",23.9183825,97.29555023001951
475,MMR001014701,Puta-O Town,ပူတာအို,မြို့,Town,"ပူတာအို, ပူတာအိုခရိုင်, ကချင်ပြည်နယ် (Kachin), 01051, Myanmar","(27.3097462, 97.4173317, 0.0)",27.3097462,97.4173317
476,MMR001015701,Sumprabum Town,ဆွမ်ပရာဘွမ်,မြို့,Town,"ဆွမ်ပရာဘွမ်, ပူတာအိုခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(26.5448191, 97.5683626, 0.0)",26.544819099999998,97.56836259999999
477,MMR001016701,Machanbaw Town,မချမ်းဘော,မြို့,Town,"မချမ်းဘော, ပူတာအိုခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(27.2821236, 97.5895433, 0.0)",27.282123600000002,97.5895433
478,MMR001017701,Nawngmun Town,နောင်မွန်း,မြို့,Town,"နောင်မွန်း, ပူတာအိုခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(27.5065429, 97.8143815, 0.0)",27.5065429,97.8143815
479,MMR001017702,Pannandin Town,ပန်နန်းဒင်,မြို့,Town,"ပန်နန်းဒင်, ပူတာအိုခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(27.7281949, 97.8766825, 0.0)",27.728194899999995,97.8766825
480,MMR001018701,Khaunglanhpu Town,ခေါင်လန်ဖူး,မြို့,Town,"ခေါင်လန်ဖူး, ပူတာအိုခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(27.061073, 98.3599129, 0.0)",27.061072999999997,98.35991290000001
481,MMR002001701,Loikaw Town,လွိုင်ကော်,မြို့,Town,"လွိုင်ကော်, လွိုင်ကော်‌ခရိုင, ကယားပြည်နယ်‌ (Kayah), Myanmar","(19.674167, 97.2094441, 0.0)",19.674167,97.2094441
483,MMR002002701,Demoso Town,ဒီးမော့ဆို,မြို့,Town,"ဒီးမော့ဆို, လွိုင်ကော်‌ခရိုင, ကယားပြည်နယ်‌ (Kayah), Myanmar","(19.45763175, 97.2828233062694, 0.0)",19.45763175,97.28282330626939
485,MMR002003701,Hpruso Town,ဖရူဆို,မြို့,Town,"ဖရူဆို, လွိုင်ကော်‌ခရိုင, ကယားပြည်နယ်‌ (Kayah), 100101, Myanmar","(19.413286, 97.122673, 0.0)",19.413286,97.12267299999999
