,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude
116,MMR001001,Myitkyina,မြစ်ကြီးနား,မြို့နယ်,Township,"မြစ်ကြီးနား, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.3833313, 97.3999925, 0.0)",25.3833313,97.39999250000001
117,MMR001002,Waingmaw,ဝိုင်းမော်,မြို့နယ်,Township,"ဝိုင်းမော်, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.3537725, 97.4440251, 0.0)",25.3537725,97.44402509999999
118,MMR001003,Injangyang,အင်ဂျန်းယန်,မြို့နယ်,Township,"အင်ဂျန်းယန်, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.8303708, 97.728043, 0.0)",25.8303708,97.728043
119,MMR001004,Tanai,တနိုင်း,မြို့နယ်,Township,"တနိုင်း, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(26.403813800000002, 96.60279485997367, 0.0)",26.4038138,96.60279485997368
121,MMR001006,Tsawlaw,ဆော့လော်,မြို့နယ်,Township,"ဆော့လော်, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(26.1537756, 98.2711332, 0.0)",26.153775600000003,98.27113320000001
122,MMR001007,Mohnyin,မိုးညှင်း,မြို့နယ်,Township,"မိုးညှင်း, မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(24.779057, 96.373198, 0.0)",24.779057,96.373198
123,MMR001008,Mogaung,မိုးကောင်း,မြို့နယ်,Township,"မိုးကောင်း, မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), ၁၁၀၂, Myanmar","(25.3018588, 96.9416995, 0.0)",25.3018588,96.9416995
124,MMR001009,Hpakant,ဖားကန့်,မြို့နယ်,Township,"ဖားကန့်, မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), 1161, Myanmar","(25.6123483, 96.3125388, 0.0)",25.6123483,96.3125388
125,MMR001010,Bhamo,ဗန်းမော်,မြို့နယ်,Township,"ဗန်းမော်, ဗန်းမော်ခရိုင်, ကချင်ပြည်နယ် (Kachin), 074, Myanmar","(24.266667, 97.233333, 0.0)",24.266667,97.233333
126,MMR001011,Shwegu,ရွှေကူ,မြို့နယ်,Township,"ရွှေကူ, ဗန်းမော်ခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(24.2278257, 96.7874052, 0.0)",24.227825699999997,96.78740520000001
127,MMR001012,Momauk,မိုးမောက်,မြို့နယ်,Township,"မိုးမောက်, ဗန်းမော်ခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(24.2493952, 97.3459136, 0.0)",24.2493952,97.34591359999999
128,MMR001013,Mansi,မံစီ,မြို့နယ်,Township,"မံစီ, ဗန်းမော်ခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(23.9183825, 97.29555023001953, 0.0)",23.9183825,97.29555023001951
129,MMR001014,Puta-O,ပူတာအို,မြို့နယ်,Township,"ပူတာအို, ပူတာအိုခရိုင်, ကချင်ပြည်နယ် (Kachin), 01051, Myanmar","(27.3097462, 97.4173317, 0.0)",27.3097462,97.4173317
130,MMR001015,Sumprabum,ဆွမ်ပရာဘွမ်,မြို့နယ်,Township,"ဆွမ်ပရာဘွမ်, ပူတာအိုခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(26.5448191, 97.5683626, 0.0)",26.544819099999998,97.56836259999999
131,MMR001016,Machanbaw,မချမ်းဘော,မြို့နယ်,Township,"မချမ်းဘော, ပူတာအိုခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(27.2821236, 97.5895433, 0.0)",27.282123600000002,97.5895433
132,MMR001017,Nawngmun,နောင်မွန်း,မြို့နယ်,Township,"နောင်မွန်း, ပူတာအိုခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(27.5065429, 97.8143815, 0.0)",27.5065429,97.8143815
133,MMR001018,Khaunglanhpu,ခေါင်လန်ဖူး,မြို့နယ်,Township,"ခေါင်လန်ဖူး, ပူတာအိုခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(27.061073, 98.3599129, 0.0)",27.061072999999997,98.35991290000001
134,MMR002001,Loikaw,လွိုင်ကော်,မြို့နယ်,Township,"လွိုင်ကော်, လွိုင်ကော်‌ခရိုင, ကယားပြည်နယ်‌ (Kayah), Myanmar","(19.674167, 97.2094441, 0.0)",19.674167,97.2094441
135,MMR002002,Demoso,ဒီးမော့ဆို,မြို့နယ်,Township,"ဒီးမော့ဆို, လွိုင်ကော်‌ခရိုင, ကယားပြည်နယ်‌ (Kayah), Myanmar","(19.45763175, 97.2828233062694, 0.0)",19.45763175,97.28282330626939
136,MMR002003,Hpruso,ဖရူဆို,မြို့နယ်,Township,"ဖရူဆို, လွိုင်ကော်‌ခရိုင, ကယားပြည်နယ်‌ (Kayah), 100101, Myanmar","(19.413286, 97.122673, 0.0)",19.413286,97.12267299999999
137,MMR002004,Shadaw,ရှားတော,မြို့နယ်,Township,"ရှားတော, ဥတ္တရခရိုင်, နေပြည်တော် ပြည်ထောင်စုနယ်မြ, Myanmar","(20.105061, 96.166191, 0.0)",20.105061,96.166191
138,MMR002005,Bawlake,ဘောလခဲ,မြို့နယ်,Township,"ဘောလခဲ, ဘော်လခဲခရိုင, ကယားပြည်နယ်‌ (Kayah), Myanmar","(19.1710509, 97.3421041, 0.0)",19.171050899999997,97.3421041
140,MMR002007,Mese,မယ်စဲ,မြို့နယ်,Township,"မယ်စဲ, ဘော်လခဲခရိုင, ကယားပြည်နယ်‌ (Kayah), Myanmar","(18.7451515, 97.5431188409926, 0.0)",18.745151500000002,97.54311884099259
