,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude
4476,MMR001001019,Myin Thar,မြင်သာ,ကျေးရွာအုပ်စု,Village Tract,"မြင်သာ, မိတ္ထီလာခရိုင်, မန္တလေးတိုင်း, Myanmar","(21.21476, 95.863152, 0.0)",21.214760000000002,95.863152
4481,MMR001001024,Wea Gyi,ဝဲကြီး,ကျေးရွာအုပ်စု,Village Tract,"ဝဲကြီး, Thaton District, Mon, Myanmar","(17.2160007, 97.1583245, 0.0)",17.2160007,97.1583245
4483,MMR001001026,Nei Char,နယ်ခြား,ကျေးရွာအုပ်စု,Village Tract,"နယ်ခြား, Thaton District, Mon, Myanmar","(17.3247529, 97.2207135, 0.0)",17.324752899999996,97.2207135
4485,MMR001001028,Nyaung Pin Thar,ညောင်ပင်သာ,ကျေးရွာအုပ်စု,Village Tract,"Nyaung Pin Thar ညောင်ပင်သာ, ကျောက်ဆည်ခရိုင်, မန္တလေးတိုင်း, Myanmar","(21.7754082, 96.1673708, 0.0)",21.7754082,96.1673708
4491,MMR001002004,Aung Myay (1),အောင်မြေ(၁),ကျေးရွာအုပ်စု,Village Tract,"Aung Myay (အောင်မြေ), စစ်ကိုင်းခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(22.1322654, 95.8678475, 0.0)",22.132265399999998,95.8678475
4492,MMR001002005,Aung Myay (2),အောင်မြေ(၂),ကျေးရွာအုပ်စု,Village Tract,"Aung Myay (အောင်မြေ), စစ်ကိုင်းခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(22.1322654, 95.8678475, 0.0)",22.132265399999998,95.8678475
4497,MMR001002010,Zee Kyun,ဇီးကျွန်း,ကျေးရွာအုပ်စု,Village Tract,"ဇီးကျွန်း, သံတွဲခရိုင, ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(18.608959, 94.278297, 0.0)",18.608959,94.278297
4499,MMR001002012,Shwe Nyaung Pin,ရွှေညောင်ပင်,ကျေးရွာအုပ်စု,Village Tract,"ရွှေညောင်ပင် Shwe Nyaung Bin, ဘားအံခရိုင်, ကရင်ပြည်နယ် (Kayin), Myanmar","(19.023296, 96.633165, 0.0)",19.023296,96.633165
4552,MMR001003025,Myit Son,မြစ်ဆုံ,ကျေးရွာအုပ်စု,Village Tract,"မြစ်ဆုံ, Hsibaw-Lashio Road, သီပေါ, ကျောက်မဲခရိုင်, ရှမ်းပြည်နယ်မြောက်ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(22.6561952, 97.4070585, 0.0)",22.6561952,97.40705849999999
4595,MMR001004005,Ma Kaw,မကော,ကျေးရွာအုပ်စု,Village Tract,"မကော, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(26.44442, 96.693779, 0.0)",26.44442,96.693779
4609,MMR001005002,Zan Nawng,ဇန်နောင်,ကျေးရွာအုပ်စု,Village Tract,"ဇန်နောင်, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.8925828, 98.1225606, 0.0)",25.8925828,98.12256059999999
4610,MMR001005003,Na Law,နလော,ကျေးရွာအုပ်စု,Village Tract,"နလော, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.8743614, 98.1098039, 0.0)",25.874361399999998,98.10980390000002
4615,MMR001005008,Shan Kyaw,ရှမ်းကျော်,ကျေးရွာအုပ်စု,Village Tract,"ရှမ်းကျော် ဘုန်းကြီးကျောင်း, ပေါင်, Thaton District, Mon, Myanmar","(16.5943854, 97.5582427, 0.0)",16.5943854,97.55824270000001
4619,MMR001005012,Ta Mu,တမူး,ကျေးရွာအုပ်စု,Village Tract,"တမူး, တမူးခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(24.2149165, 94.3031975, 0.0)",24.2149165,94.3031975
4624,MMR001005017,Ya Jawng,ရုပ်ချောင်,ကျေးရွာအုပ်စု,Village Tract,"ရုပ်ချောင်, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.908649, 98.168694, 0.0)",25.908649,98.16869399999999
4625,MMR001005018,Jit Lai,ဂျစ်လိုင်,ကျေးရွာအုပ်စု,Village Tract,"ဂျစ်လိုင်, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.878269, 98.174454, 0.0)",25.878269,98.174454
4633,MMR001005026,Hpa Re,ဖရဲ,ကျေးရွာအုပ်စု,Village Tract,"ဖရဲ, ပဲခူးခရိုင်, ပဲခူးတိုင်းဒေသကြီး အရှေ့ခြမ်း, ပဲခူးတိုင်းဒေသကြီး (Bago), Myanmar","(17.326111, 96.57254, 0.0)",17.326110999999997,96.57254
4646,MMR001005039,Ngwa Hpa Hkar,ငွါးဖခါး,ကျေးရွာအုပ်စု,Village Tract,"ငွါးဖခါး, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(26.2272816, 98.5635647, 0.0)",26.227281599999998,98.5635647
4648,MMR001005041,Lu Pi,လုပိ,ကျေးရွာအုပ်စု,Village Tract,"Laupai Street, ʻEwa Gentry, Waipahu, Honolulu County, Hawaii, 96706, United States of America","(21.3401786, -158.0202334, 0.0)",21.3401786,-158.0202334
4675,MMR001007001,Pin Lon,ပင်လုံ,ကျေးရွာအုပ်စု,Village Tract,"ပင်လုံ, မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(24.558821, 96.191719, 0.0)",24.558821,96.19171899999999
4676,MMR001007002,Maw Han,မော်ဟန်,ကျေးရွာအုပ်စု,Village Tract,"မော်ဟန်, မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(24.634239, 96.211533, 0.0)",24.634239,96.211533
4677,MMR001007003,Se Maing Ywar Thit,ဆယ်မိုင်ရွာသစ်,ကျေးရွာအုပ်စု,Village Tract,"ဆယ်မိုင်ရွာသစ်, မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(24.66938, 96.269188, 0.0)",24.66938,96.269188
4678,MMR001007004,Kar Tu,ကာတူ,ကျေးရွာအုပ်စု,Village Tract,"ကာတူ, မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(24.73863, 96.28511, 0.0)",24.73863,96.28511
4679,MMR001007005,Nyaung Kaing,ညောင်ကိုင်း,ကျေးရွာအုပ်စု,Village Tract,"ညောင်ကိုင်း, မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(24.7242156, 96.3240819, 0.0)",24.7242156,96.3240819
