,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude
959,MMR001001701505,Myo Ma Ward,မြို့မရပ်ကွက်,ရပ်ကွက်,Ward,"မြို့မရပ်ကွက် Myo Ma Ward, မြစ်ကြီးနား, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), 10101, Myanmar","(25.385195, 97.4007827, 0.0)",25.385195,97.40078270000001
961,MMR001001701507,Shan Su (North) Ward,ရှမ်းစုမြောက်ရပ်ကွက်,ရပ်ကွက်,Ward,"ရှမ်းစုမြောက်ရပ်ကွက် Shan Su (North) Quarter, မြစ်ကြီးနား, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), 10101, Myanmar","(25.3793852, 97.4003684, 0.0)",25.379385199999998,97.4003684
962,MMR001001701508,Shan Su (South) Ward,ရှမ်းစုတောင်ရပ်ကွက်,ရပ်ကွက်,Ward,"ရှမ်းစုတောင်ရပ်ကွက် Shan Su South Ward, မြစ်ကြီးနား, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.3751824, 97.400804, 0.0)",25.3751824,97.40080400000001
963,MMR001001701509,Kachin Su Ward,ကချင်စုရပ်ကွက်,ရပ်ကွက်,Ward,"ကချင်စုရပ်ကွက် Kachin Su Ward, မြစ်ကြီးနား, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.3713121, 97.4050834, 0.0)",25.3713121,97.40508340000001
964,MMR001001701510,Kyun Pin Thar Ward,ကျွန်းပင်သာရပ်ကွက်,ရပ်ကွက်,Ward,"ကျွန်းပင်သာရပ်ကွက် Kyun Pin Thar Ward, မြစ်ကြီးနား, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.3668205, 97.4053769, 0.0)",25.3668205,97.40537690000001
965,MMR001001701511,Aye Zay Di Ward,အေးစေတီရပ်ကွက်,ရပ်ကွက်,Ward,"အေးစေတီရပ်ကွက် Aye Say Thi Ward, မြစ်ကြီးနား, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.370022, 97.3956558, 0.0)",25.370022,97.3956558
966,MMR001001701512,Shwe Nyaung Pin Ward,ရွှေညောင်ပင်ရပ်ကွက်,ရပ်ကွက်,Ward,"ရွှေညောင်ပင်ရပ်ကွက် Shwe Nyaung Pin Ward, မြစ်ကြီးနား, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.3638084, 97.39806, 0.0)",25.363808399999996,97.39806
967,MMR001001701513,Myo Thit Ward,မြို့သစ်ရပ်ကွက်,ရပ်ကွက်,Ward,"မြို့သစ်ရပ်ကွက် Myo Thit Ward, မြစ်ကြီးနား, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), 10101, Myanmar","(25.3841957, 97.3943395, 0.0)",25.3841957,97.3943395
969,MMR001001701515,Khay Mar Thi Ri Ward,ခေမာသီရိရပ်ကွက်,ရပ်ကွက်,Ward,"ခေမာသီရိရပ်ကွက် Khay Mar Thiri Ward, မြစ်ကြီးနား, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), 10101, Myanmar","(25.3777949, 97.3899205, 0.0)",25.377794899999998,97.3899205
970,MMR001001701516,Yu Za Na Ward,ယုဇနရပ်ကွက်,ရပ်ကွက်,Ward,"ယုဇနရပ်ကွက် Yu Za Na Ward, မြစ်ကြီးနား, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), 10101, Myanmar","(25.3860799, 97.3867538, 0.0)",25.3860799,97.3867538
976,MMR001001701522,Ram Pu Ward,ရမ်ပူရပ်ကွက်,ရပ်ကွက်,Ward,"ရမ်ပူရပ်ကွက် Ram Bu Ward, မြစ်ကြီးနား, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.3687022, 97.3906681, 0.0)",25.3687022,97.3906681
979,MMR001001701525,Lel Kone Ward,လယ်ကုန်းရပ်ကွက်,ရပ်ကွက်,Ward,"လယ်ကုန်းရပ်ကွက် Lae Kone Ward, မြစ်ကြီးနား, မြစ်ကြီးနားခရိုင်, ကချင်ပြည်နယ် (Kachin), Myanmar","(25.3470029, 97.3929924, 0.0)",25.3470029,97.39299240000001
986,MMR001002701501,No (1) Ward,အမှတ်(၁)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ် ၁ ကြို့ကုန်းရိပ်သာလမ်း No (1) Gyo Gone Housing, ဘုရင့်နောင် ရပ်ကွက်, အင်းစိန်, Northern District, ရန်ကုန်တိုင်းဒေသကြီး, 11011, Myanmar","(16.8785501, 96.1115181, 0.0)",16.878550100000002,96.1115181
987,MMR001002701502,No (2) Ward,အမှတ်(၂)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
988,MMR001002701503,No (3) Ward,အမှတ်(၃)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
989,MMR001002701504,No (4) Ward,အမှတ်(၄)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
990,MMR001002701505,No (5) Ward,အမှတ်(၅)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅)အခြေခံပညာမူလတန်းလွန်ကျောင်း, ဗိုလ်ဥတ္တမလမ်း, ၅ ရပ်ကွက်, ဒဂုံမြို့သစ်မြောက်ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, 11451, Myanmar","(16.89680695, 96.19876269635246, 0.0)",16.89680695,96.19876269635245
991,MMR001002702501,No (1) Ward,အမှတ်(၁)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ် ၁ ကြို့ကုန်းရိပ်သာလမ်း No (1) Gyo Gone Housing, ဘုရင့်နောင် ရပ်ကွက်, အင်းစိန်, Northern District, ရန်ကုန်တိုင်းဒေသကြီး, 11011, Myanmar","(16.8785501, 96.1115181, 0.0)",16.878550100000002,96.1115181
992,MMR001002702502,No (2) Ward,အမှတ်(၂)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
993,MMR001002702503,No (3) Ward,အမှတ်(၃)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
994,MMR001002702504,No (4) Ward,အမှတ်(၄)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
